Year, State, Sample, Valid cases, Replacement Ratio 1, Replacement Ratio 2, Average WBA, Average Weekly Wage
2012, AL, 482, 482, 0.418, 0.374, $212.18, $567.57
2012, AK, 482, 479, 0.341, 0.307, $233.18, $760.16
2012, AZ, 484, 481, 0.415, 0.365, $214.36, $587.54
2012, AR, 480, 475, 0.518, 0.447, $289.33, $647.25
2012, CA, 916, 914, 0.453, 0.373, $305.81, $820.48
2012, CO, 480, 478, 0.494, 0.452, $359.85, $795.90
2012, CT, 489, 468, 0.436, 0.407, $329.06, $809.28
2012, DE, 360, 360, 0.421, 0.368, $254.01, $690.32
2012, DC, 362, 361, 0.408, 0.344, $303.08, $881.46
2012, FL, 480, 480, 0.431, 0.371, $234.28, $630.85
2012, GA, 496, 495, 0.459, 0.397, $274.86, $692.27
2012, HI, 360, 360, 0.526, 0.470, $425.05, $904.23
2012, ID, 480, 469, 0.461, 0.420, $256.18, $610.32
2012, IL, 435, 433, 0.385, 0.342, $276.13, $806.93
2012, IN, 482, 475, 0.492, 0.443, $300.99, $678.96
2013, AL, 482, 478, 0.415, 0.367, $214.98, $585.68
2013, AK, 495, 486, 0.337, 0.309, $237.80, $770.66
2013, AZ, 473, 473, 0.414, 0.340, $222.58, $654.99
2013, AR, 481, 479, 0.518, 0.482, $298.66, $619.71
2013, CA, 615, 611, 0.473, 0.389, $313.13, $804.33
2013, CO, 491, 491, 0.504, 0.446, $368.89, $826.57
2013, CT, 491, 483, 0.443, 0.430, $333.71, $775.51
2013, DE, 360, 359, 0.425, 0.375, $252.65, $673.57
2013, DC, 363, 359, 0.386, 0.317, $301.53, $951.26
2013, FL, 350, 350, 0.434, 0.375, $236.20, $630.29
2013, GA, 487, 485, 0.481, 0.412, $268.85, $653.20
2013, HI, 360, 359, 0.545, 0.475, $431.90, $909.68
2013, ID, 482, 475, 0.473, 0.433, $268.65, $620.04
2013, IL, 483, 481, 0.395, 0.347, $284.57, $819.83
2013, IN, 460, 448, 0.367, 0.344, $252.80, $734.38
2014, AL, 480, 480, 0.411, 0.363, $217.11, $597.38
2014, AK, 490, 487, 0.346, 0.300, $240.94, $803.42
2014, AZ, 490, 485, 0.415, 0.313, $225.35, $719.21
2014, AR, 481, 475, 0.511, 0.481, $295.24, $613.66
