Year,State,Insured Unemployment
2012,AK,0.47570789952988
2012,AL,0.2046433522086
2012,AR,0.33497017360283
2012,AZ,0.20200894983416
2012,CA,0.25823685735169
2012,CO,0.20370763059117
2012,CT,0.3525365366484
2012,DC,0.16345459297908
2012,DE,0.31420655567488
2012,FL,0.16442226845339
2012,GA,0.18594813344053
2012,HI,0.33103425153153
2012,IA,0.34117172619336
2012,ID,0.30667876264716
2012,IL,0.2663452557943
2012,IN,0.20665630129009
2012,KS,0.3180344091447
2012,KY,0.21421057641141
2012,LA,0.24417520308339
2012,MA,0.41268644759065
2012,MD,0.28191148499806
2012,ME,0.2878164175717
2012,MI,0.25765040254522
2012,MN,0.35059223545073
2012,MO,0.2421427830781
2012,MS,0.22936931674614
2012,MT,0.4068584280742
2012,NC,0.23830527120208
2012,ND,0.30340136806162
2012,NE,0.34572681240971
2012,NH,0.27153394954832
2012,NJ,0.32724508381203
2012,NM,0.28840213303789
2012,NV,0.22210443287585
2012,NY,0.31217490616324
2012,OH,0.22803777106096
2012,OK,0.25451910233925
2012,OR,0.3289555134005
2012,PA,0.428805149727
2012,PR,0.20419451125927
2012,RI,0.25567676933994
2012,SC,0.20582956152372
2012,SD,0.15917341613658
2012,TN,0.17257144244537
2012,TX,0.19291251388478
2012,UT,0.25630578697631
2012,VA,0.18449731690121
2012,VT,0.40046708695217
2012,WA,0.29460868128025
2012,WI,0.41411248387297
2012,WV,0.30820558601268
2012,WY,0.26598722463006
2012,US,0.2598504377123
