State,Year,Quarter,Civilian Labor Force(000),Covered Employment(000),Subject Employers(000),Total Unemployment Rate,,Total Unemployed(000),Insured Unemployed Regular Programs(000),Insured Unemployed All Programs(000),Recipiency Rates Regular Programs ,,Recipiency Rates All Programs ,
,,,,,,(%),Rank,,,,(%),Rank,(%),Rank
AK,2021,1,345,277,19,7.6,9,26,17.07,18.32,64.9,6,69.7,12
AK,2021,2,352,292,19,7.1,7,25,11.62,11.65,46.3,13,46.4,15
AK,2021,3,356,303,20,5.4,17,19,6.62,7.11,34.2,18,36.7,18
AK,2021,4,353,287,20,5.3,6,19,7.7,9.27,41.1,7,49.5,6
AK,2022,1,352,286,20,5.5,4,19,7.35,7.35,38,12,38,12
AK,2022,2,355,305,20,4.3,6,15,4.71,4.71,31,8,31,8
AK,2022,3,357,313,20,3.3,27,12,3.42,3.42,28.8,9,28.8,9
AK,2022,4,351,293,21,3.8,9,13,5.48,5.48,40.9,6,40.9,6
AK,2023,1,352,293,21,4.5,7,16,6.19,6.19,38.9,13,38.9,13
AK,2023,2,357,313,21,4.1,8,15,4.4,4.4,30,18,30,18
AK,2023,3,363,324,21,3.8,17,14,3.3,3.3,23.6,21,23.6,21
AK,2023,4,357,300,21,4.4,7,16,5.79,5.79,36.7,11,36.7,11
AL,2021,1,"2,239","1,877",103,4.1,49,92,19.15,19.15,20.9,52,20.9,52
AL,2021,2,"2,250","1,900",106,3.5,48,79,18.45,18.45,23.3,49,23.3,49
AL,2021,3,"2,248","1,912",107,3.4,44,75,9.38,9.38,12.4,51,12.4,51
AL,2021,4,"2,260","1,950",109,2.5,45,56,5.78,5.78,10.3,53,10.3,53
AL,2022,1,"2,266","1,940",110,2.8,45,63,4.75,4.75,7.5,53,7.5,53
AL,2022,2,"2,280","1,965",113,2.4,45,56,4.06,4.06,7.3,53,7.3,53
AL,2022,3,"2,281","1,980",116,2.7,42,62,4.97,4.97,8,52,8,52
AL,2022,4,"2,279","1,999",108,2.2,48,50,3.91,3.91,7.8,53,7.8,53
AL,2023,1,"2,282","1,992",108,2.5,47,56,7.67,7.67,13.7,47,13.7,47
AL,2023,2,"2,298","2,013",110,2.2,47,51,8.46,8.46,16.5,42,16.5,42
