State,Qualifying wage or employment,Wba for total unemployment Min,Wba for total unemployment Max
AL,1- ½ x hqw,$45,$190
AK,"$1,000; wages in 2 quarters",44-68,248-320
AZ,"1- ½ x hqw; $1,000 in HQ",$40,$205
AR,27 x wba; wages in 2 quarters,$60,$333
CA,"$1,300 in HQ or $900 in HQ with BP wages = to 1-1/4 x HQ",$40,$330
CO,"40 or $2500 in BP, whichever is greater",$25,$390
CT,40 or 1- ½ x hqw,15-30,406-481
DE,36,$20,$330
DC,"1- ½ x hqw; not less than $1,950 in 2 quarters; $1,300 in 1 quarter",$50,$309
FL,"1- ½ x hqw; $3,400 in BP",$32,$275
GA,150% of hqw; wages in 2 quarters,$39,$284
HI,26; wages in 2 quarters,$5,$395
ID,"1-1/4 x hqw; not less than minimum qualifying wages in 1 quarter; wages in 2 quarters",$51,$315
IL,"$1,600; $440 outside HQ",51-56,326-431
IN,"not less than $2,750; $1,650 in last 2 quarters",$50,$312
IA,"1-1/4 x hqw; 3.5% of the Statewide aaw in HQ; ½ hqw of 2nd quarter",42-51,283-347
KS,30; wages in 2 quarters,$83,$333
KY,"1- ½ x hqw; 8 x wba in last 2 quarters; $750 in 1 quarter; $750 in other quarters",$39,$329
LA,"$1,200; 1 - ½ x hqw",$10,$258
ME,"2 x annual aww in each of 2 quarters and 6 x annual aww in BP",47-70,272-408
MD,"1- ½ x hqw; $576.01 in 1 quarter; wages in 2 quarters",25-57,$280
MA,"30; not less than $2,700",29-43,512-768
MI,1-1/2 x hqw 20 weeks employment at 30 x State minimum hourly wage,81-111,$300
MN,"At least $1,000 in HQ; $250 outside HQ",$38,$452
MS,"40; $780 in 1 quarter; wages in 2 quarters",$30,$200
MO,"1- ½ x hqw; $1,000 in 1 quarter; wages in 2 quarters",$40,$250
MT,"1- ½ x hqw; 7% of aaw in BP or 50% of aaw",$68,$286
NE,"$1,600; $800 in each of 2 quarters",$36,$262
NV,1- ½ x hqw,$16,$301
NH,"$2,800; $1,400 in each of 2 quarters",$32,$331
NJ,20 weeks employment at 20% of aww; or 12 x aww,61-70,$446
NM,"$1,372.80 in hqw and wages in at least one other quarter",$52,$277
NY,"1 ½ x hqw; least $1600 in hq; wages in 2 quarters",$40,$405
NC,"At least $565.50 in BP; 1 ½ = HQW",$15,$396
ND,1 - ½ x hqw,$43,$290
OH,20 weeks employment with wages averaging 27.5% of State aww,$86,308-414
OK,"$1,500; 1 - ½ x hqw; $9,800",$16,$304
OR,"1- ½ x hqw; not less than $1,000 in BP or 500 hrs of employment in the BP",$93,$400
PA,"$800 in HQ; $1,320 in BP; at least 20% of bpw outside HQ",35-43,430-438
PR,"40 x wba; not less than $280 bpw; $75 in 1 quarter; wages in 2 quarters",$7,$133
RI,[not specified in visible data],56-106,415-518
SC,"1- ½ x hqw; not less than $900; $540 in 1 quarter",$20,$268
SD,"$728 in HQ; 20 x wba outside HQ",$28,$234
TN,"40; $780.01 in highest 2 quarters",$30,$275
TX,37; wages in at least 2 quarters,$51,$319
UT,1- ½ x hqw,$23,$365
VT,"$1,571 in a quarter; BP wages of 40% of total HQ wages",$25,$312
VA,"$2,500 to $13,400.01 in highest 2 quarters",$50,$268
VI,"1- ½ x hqw; $858 in HQ or $858 in HQ and 39 x wba in BP",$32,$312
WA,680 hours,$106,$496
WV,"$2,200 and wages in 2 quarters",$24,$338
WI,30; 4 x wba outside HQ,$48,$324
WY,"1.4 x hqw; 8% of State aaw in BP",$20,$283
