State,Qualifying wage or employment,WBA for total unemployment Min,WBA for total unemployment Max
AL,"1½ x HQW; qualify for at least minimum WBA",$45,$235
AK,"$1,000; wages in 2 qtrs","$44-68","$248-320"
AZ,"1½ x HQW; $1,500 in 1 qtr or wages in 2 qtrs; wages in 1 qtr sufficient to qualify for maximum WBA, and BP wages ≥ taxable wage base",$60,$240
AR,"27 x WBA; wages in 2 qtrs",$73,$409
CA,"$1,300 in HQ, or $900 in HQ with BP wages = 1¼ x HQ",$40,$450
CO,"40 x WBA or $2,500, whichever is greater",$25,"$413-455"
CT,"40 x WBR","$15-30","$501-576"
DE,"36 x WBA",$20,$330
DC,"1½ x HQW or within $70; not less than $1,950 in 2 qtrs; $1,300 in 1 qtr",$50,$359
FL,"1½ x HQW; minimum $3,400; wages in 2 qtrs",$32,$275
GA,"wages in 2 qtrs & 150% x HQW or HQW divided by 21 for WBA w/ total earnings at least 40 x WBA",$44,$320
HI,"26 x WBA; wages in 2 qtrs ($10,983 in HQ for maximum & $13,598 in BP)",$5,$523
ID,"1¼ x HQW; not less than the minimum qualifying wages in 1 qtr $1,508",$58,$364
IL,"$1,600; $440 outside HQ","$51-70","$369-511"
IN,"1¼ x HQW totaling at least $1,650 in last 2 qtrs; not less than $2,750 in BP",$50,$390
IA,"1¼ x HQW; 3.5% of the statewide AAW in HQ; ½ HQW in qtr not the HQ","$51-62","$347-426"
KS,"30 x WBA; wages in 2 qtrs",$101,$407
KY,"1½ x HQW; 8 x WBA in last 2 qtrs; $750 in HQ; $750 outside HQ",$39,$415
LA,"$1,200; 1½ x HQW",$10,$258
ME,"2 x AWW in 2 different BP qtrs; total BP wages = 6 x AWW","$57-85","$331-496"
MD,"1½ x HQW; $576.01 in HQ","$25-65",$380
MA,"30 x WBA; $3,300 minimum","$32-48","$600-900"
MI,"1½ x HQW; at least $2,774 in HQ (from 1/6/08 thru 1/3/09); or wages in 2 or more BP qtrs totaling at least 20 x state AWW","$113-143",$362
MN,"At least $1,000 in HQ; $250 outside HQ",$38,"$351 based on HQW & $538 based on total BPW"
MS,"40 x WBA; $780 in HQ; wages in 2 qtrs",$30,$210
MO,"1½ x HQW; $1,500 in 1 qtr; or wages in 2 qtrs of BP = 1½ maximum taxable wage base",$45,$320
MT,"BPW = 1½ x HQW & total wages > 7% of AAW or BPW > 50% of AAW",$114,$386
NE,"$2,651; $800 in each of 2 qtrs; $800 in HQ",$30,$298
NV,"1½ x HQW; or wages in 3 of 4 qtrs of BP",$16,$362
NH,"$2,800; $1,400 in each of 2 qtrs",$32,$427
NJ,"20 weeks employment at 20 x state hourly minimum wage or 1,000 x state hourly minimum wage","$85-97",$560
NM,"$1,603.74 in HQW and wages in at least 1 other qtr","$66-99","$355-455"
NY,"1½ x HQW; $1,600 in HQ",$40,$405
NC,"6 x AWW; wages in 2 qtrs of BP",$39,$457
ND,"1½ x HQW; wages in 2 qtrs",$43,$385
OH,"20 weeks employment with wages averaging 27.5% of state AWW; wages in 4 qtrs",$103,"$365-493"
OK,"$1,500 and 1½ x HQW",$16,$392
OR,"6 x WBA since prior initial claim and total base year earnings > 1½ x HQW; or 500 hours of employment in BP",$108,$463
PA,"$800 in HQ; $1,320 in BP; at least 20% of BPW outside HQ; 16 credit weeks in BP","$35-43","$539-547"
PR,"40 x WBA; $280 minimum; $75 in 1 qtr; wages in 2 qtrs",$7,$133
RI,"1½ x HQW. 200 x minimum hourly wage in 1 qtr and 400 x minimum hourly wage in BP; or 1,200 x minimum hourly wage in BP","$68-118","$513-641"
SC,"1½ x HQW; $900 minimum; $540 in HQ",$20,$326
SD,"$728 in HQ; 20 x WBA outside HQ",$28,$285
TN,"40 x WBA; $780.01 avg wages in highest 2 qtrs; BPW outside HQW > the lesser of 6 x WBA or $900",$30,$275
TX,"37 x WBA; wages in at least 2 qtrs",$57,$378
UT,"$2,800 and 1) 1½ x HQW or 2) $140 for 20 weeks",$26,$427
VT,"$1,981 HQW + BP wages > 40% HQW",$61,$409
VA,"$2,700 in highest 2 qtrs of BP",$54,$363
VI,"1½ x HQW and $858 in HQ; or $858 in HQ and 39 x WBA in BP",$33,$454
WA,"680 hours; wages in BP",$122,$515
WV,"$2,200 and wages in 2 qtrs",$24,$408
WI,"30 x WBA and 4 x WBA outside HQ",$53,$355
WY,"1.4 x HQW; at least 8% of statewide AAW",$28,$387
