Year,South
2000.0,167.2
2001.0,171.1
2002.0,173.3
2003.0,177.3
2004.0,181.8
2005.0,188.3
2006.0,194.7
2007.0,200.361
2008.0,208.681
2009.0,207.845
2010.0,211.338
2011.0,218.618
2012.0,223.242
2013.0,226.721
2014.0,230.552
2015.0,230.147
2016.0,232.692
2017.0,237.456
2018.0,242.737
2019.0,246.265
2020.0,248.639
2021.0,261.259
2022.0,283.666
2023.0,296.422
2024.0,305.187
