Year,West
2000.0,174.8
2001.0,181.2
2002.0,184.7
2003.0,188.6
2004.0,193.0
2005.0,198.9
2006.0,205.7
2007.0,212.23
2008.0,219.646
2009.0,218.822
2010.0,221.203
2011.0,227.485
2012.0,232.376
2013.0,235.824
2014.0,240.215
2015.0,243.015
2016.0,247.705
2017.0,254.738
2018.0,263.263
2019.0,270.35
2020.0,275.057
2021.0,287.494
2022.0,310.509
2023.0,323.834
2024.0,332.945
