State,Year,Quarter,Civilian Labor Force(000),Covered Employment(000),Subject Employers(000),Total Unemployment Rate,,Total Unemployed(000),Insured Unemployed Regular Programs(000),Insured Unemployed All Programs(000),Recipiency Rates Regular Programs ,,Recipiency Rates All Programs ,
,,,,,,(%),Rank,,,,(%),Rank,(%),Rank
GA,2024,1,"5,394","4,707",308,3.4,34,182,31.42,31.43,17.2,41,17.2,41
GA,2024,2,"5,405","4,754",310,3.5,26,187,28.55,28.56,15.2,44,15.2,44
GA,2024,3,"5,410","4,738",311,3.8,28,205,30.87,30.87,15.1,41,15.1,41
GA,2024,4,"5,398","4,791",312,3.5,27,187,27.63,27.64,14.8,43,14.8,43
HI,2024,1,679,601,40,2.8,46,19,8.19,8.19,43,12,43,12
HI,2024,2,679,604,40,2.9,40,19,6.26,6.26,32.1,14,32.1,14
HI,2024,3,682,600,40,3.2,42,22,6.4,6.4,29.3,13,29.3,13
HI,2024,4,682,611,40,3,41,21,6.16,6.16,30,18,30,18
IA,2024,1,"1,703","1,517",90,3.1,41,54,19.66,19.66,36.7,16,36.7,16
IA,2024,2,"1,713","1,559",90,2.7,47,46,8.76,8.76,19,32,19,32
IA,2024,3,"1,723","1,543",90,3.3,39,56,10.35,10.35,18.4,31,18.4,31
IA,2024,4,"1,714","1,546",90,3.1,39,53,12.68,12.68,23.9,24,23.9,24
ID,2024,1,990,817,82,4.1,19,40,10.39,10.39,25.9,30,25.9,30
ID,2024,2,"1,000",846,83,3.4,29,34,5.54,5.54,16.1,37,16.1,37
ID,2024,3,"1,012",855,85,3.6,33,36,4.28,4.28,11.9,49,11.9,49
ID,2024,4,"1,008",852,86,3.6,24,36,5.94,5.94,16.4,38,16.4,38
IL,2024,1,"6,554","5,844",344,5.2,5,339,123.73,123.73,36.5,17,36.5,17
IL,2024,2,"6,624","5,980",344,5,4,334,94.71,94.71,28.3,17,28.3,17
IL,2024,3,"6,676","5,973",344,5.3,6,351,92.57,92.57,26.4,19,26.4,19
IL,2024,4,"6,646","6,013",344,4.5,10,299,93.67,93.67,31.3,17,31.3,17
IN,2024,1,"3,407","3,095",151,4.3,16,145,26.48,26.48,18.2,37,18.2,37
IN,2024,2,"3,457","3,144",151,4,15,138,20.08,20.08,14.6,45,14.6,45
IN,2024,3,"3,490","3,140",151,4.4,17,154,21.81,21.81,14.2,43,14.2,43
IN,2024,4,"3,470","3,162",152,4.1,17,142,22.59,22.59,15.9,41,15.9,41
KS,2024,1,"1,530","1,383",87,3.4,34,51,7.99,7.99,15.5,45,15.5,45
KS,2024,2,"1,543","1,409",88,3.5,26,53,7.79,7.79,14.6,45,14.6,45
KS,2024,3,"1,556","1,397",88,4,25,62,8.4,8.4,13.6,46,13.6,46
KS,2024,4,"1,554","1,419",87,3.5,27,54,7.68,7.68,14.2,45,14.2,45
KY,2024,1,"2,072","1,939",111,5.1,6,107,10.08,10.08,9.5,52,9.5,52
KY,2024,2,"2,095","1,960",112,4.8,7,101,8.07,8.07,8,53,8,53
KY,2024,3,"2,106","1,937",113,5.3,6,112,8.82,8.82,7.9,53,7.9,53
KY,2024,4,"2,101","1,972",114,5,5,105,9.13,9.13,8.7,52,8.7,52
LA,2024,1,"2,069","1,865",111,4.2,18,87,10.19,10.19,11.7,50,11.7,50
LA,2024,2,"2,081","1,882",110,4.1,13,86,10.84,10.84,12.6,50,12.6,50
LA,2024,3,"2,089","1,876",110,4.7,10,99,11.99,11.99,12.2,48,12.2,48
LA,2024,4,"2,078","1,908",110,4.4,11,91,10.38,10.38,11.4,50,11.4,50
ME,2024,1,692,609,55,3.4,34,23,8.53,8.53,36.8,15,36.8,15
ME,2024,2,703,631,55,2.8,44,20,5.8,5.8,29.2,15,29.2,15
ME,2024,3,719,646,56,2.9,46,21,4.67,4.67,22.5,26,22.5,26
ME,2024,4,707,631,56,3.4,30,24,5.49,5.49,22.7,28,22.7,28
