Year, State, Sample, Valid cases, Replacement Ratio 1, Replacement Ratio 2, Average WBA, Average Weekly Wage
2000, UT, 360, 359, 0.482, 0.450, $233.95, $520.02
2000, VT, 356, 354, 0.510, 0.489, $211.28, $431.94
2000, VA, 529, 527, 0.458, 0.405, $204.60, $505.44
2000, WA, 594, 559, 0.519, 0.498, $284.79, $571.72
2000, WV, 480, 480, 0.417, 0.395, $198.37, $501.69
2000, WI, 488, 462, 0.479, 0.443, $240.77, $543.08
2000, WY, 360, 359, 0.486, 0.456, $210.31, $461.68
2001, UT, 360, 359, 0.501, 0.454, $262.16, $576.94
2001, VT, 359, 352, 0.518, 0.491, $231.27, $470.95
2001, VA, 438, 436, 0.454, 0.362, $224.24, $619.92
2001, WA, 578, 544, 0.517, 0.483, $312.12, $646.35
2001, WV, 480, 480, 0.418, 0.393, $205.62, $522.62
2001, WI, 480, 453, 0.502, 0.462, $252.05, $545.58
2001, WY, 360, 360, 0.493, 0.455, $218.38, $480.00
2002, UT, 360, 358, 0.507, 0.467, $284.00, $607.77
2002, VT, 340, 335, 0.516, 0.482, $251.56, $522.12
2002, VA, 479, 477, 0.543, 0.449, $291.72, $649.01
2002, WA, 598, 563, 0.510, 0.477, $332.73, $696.92
2002, WV, 480, 480, 0.441, 0.415, $221.78, $534.11
2002, WI, 480, 460, 0.492, 0.453, $254.76, $562.66
2002, WY, 348, 348, 0.488, 0.456, $235.54, $516.27
2003, UT, 390, 389, 0.487, 0.443, $277.62, $627.36
2003, VT, 360, 357, 0.500, 0.463, $257.56, $556.79
2003, VA, 480, 476, 0.531, 0.453, $280.22, $619.23
2003, WA, 594, 558, 0.508, 0.482, $327.55, $680.15
2003, WV, 480, 478, 0.434, 0.409, $229.59, $562.00
2003, WI, 480, 457, 0.476, 0.436, $254.52, $583.14
2003, WY, 350, 349, 0.502, 0.468, $245.97, $525.48
2004, UT, 480, 473, 0.494, 0.460, $270.26, $587.56
2004, VT, 360, 356, 0.520, 0.498, $257.39, $517.00
2004, VA, 484, 470, 0.468, 0.406, $244.02, $601.66
2004, WA, 642, 589, 0.488, 0.453, $314.16, $692.88
2004, WV, 480, 479, 0.442, 0.415, $227.00, $546.98
2004, WI, 480, 448, 0.480, 0.437, $255.39, $584.46
2004, WY, 360, 354, 0.501, 0.464, $242.55, $522.77
2005, UT, 480, 479, 0.497, 0.407, $273.76, $672.60
2005, VT, 360, 353, 0.485, 0.448, $266.31, $594.81
2005, VA, 480, 477, 0.433, 0.377, $253.17, $672.08
2005, WA, 647, 587, 0.447, 0.422, $303.19, $718.49
2005, WV, 480, 479, 0.424, 0.374, $234.10, $626.33
2005, WI, 481, 454, 0.489, 0.442, $256.70, $580.36
2005, WY, 361, 355, 0.501, 0.459, $249.77, $544.37
Prepared by OUI Div. of Performance Management on 30 Mar 2025.
