Year, State, Sample, Valid cases, Replacement Ratio 1, Replacement Ratio 2, Average WBA, Average Weekly Wage
2012, NJ, 408, 396, 0.523, 0.457, $391.99, $856.94
2012, NM, 325, 325, 0.495, 0.450, $289.71, $644.13
2012, NY, 467, 464, 0.425, 0.352, $298.89, $848.14
2012, NC, 520, 517, 0.516, 0.505, $287.02, $568.41
2012, ND, 360, 359, 0.475, 0.447, $357.07, $798.84
2012, OH, 483, 477, 0.448, 0.406, $291.25, $716.69
2012, OK, 480, 479, 0.496, 0.437, $279.81, $640.50
2012, OR, 488, 482, 0.462, 0.440, $302.61, $688.48
2012, PA, 496, 492, 0.540, 0.513, $358.04, $698.12
2012, PR, 480, 470, 0.366, 0.336, $119.27, $355.44
2012, RI, 480, 472, 0.553, 0.518, $373.65, $720.79
2012, SC, 485, 484, 0.474, 0.437, $242.27, $553.89
2012, SD, 360, 360, 0.461, 0.423, $273.15, $645.09
2012, TN, 480, 479, 0.401, 0.359, $219.49, $610.73
2012, TX, 482, 482, 0.507, 0.443, $333.60, $752.77
2013, NJ, 427, 423, 0.527, 0.464, $396.07, $854.35
2013, NM, 506, 504, 0.474, 0.422, $310.20, $735.88
2013, NY, 483, 480, 0.421, 0.344, $303.83, $883.15
2013, NC, 518, 518, 0.510, 0.495, $296.54, $598.53
2013, ND, 366, 363, 0.510, 0.486, $399.07, $821.13
2013, OH, 469, 465, 0.447, 0.400, $305.82, $764.27
2013, OK, 480, 478, 0.505, 0.450, $293.36, $652.45
2013, OR, 508, 495, 0.479, 0.446, $323.40, $725.68
2013, PA, 520, 517, 0.538, 0.506, $363.17, $718.18
2013, PR, 481, 480, 0.367, 0.322, $121.86, $378.93
2013, RI, 474, 473, 0.474, 0.439, $339.34, $773.25
2013, SC, 513, 512, 0.457, 0.407, $247.08, $607.74
2013, SD, 360, 359, 0.484, 0.450, $287.26, $638.14
2013, TN, 480, 480, 0.406, 0.354, $224.37, $633.06
2013, TX, 486, 484, 0.493, 0.390, $345.79, $886.76
2014, NJ, 484, 477, 0.530, 0.462, $402.52, $872.16
2014, NM, 489, 488, 0.501, 0.403, $300.62, $746.75
2014, NY, 481, 478, 0.404, 0.324, $307.33, $949.58
2014, NC, 520, 519, 0.397, 0.367, $240.63, $655.24
2014, ND, 361, 358, 0.509, 0.479, $432.41, $903.18
2014, OH, 481, 477, 0.442, 0.401, $314.74, $785.12
