State,Qualifying wage or employment,WBA for total unemployment Min,WBA for total unemployment Max
AL,1½ x HQW; qualify for at least minimum WBA,$45 ,$265 
AK,"$2,500; wages in 2 qtrs",$56 ,$370 
AZ,"1½ x HQW and $3,081 in 1 qtr; or wages in 2 qtrs with wages in 1 qtr sufficient to qualify for maximum WBA, and total BPW ≥ taxable wage base",$123 ,$240 
AR,35 x WBA; wages in 2 qtrs,$81 ,$451 
CA,"$1,300 in HQ, or $900 in HQ with BPW = 1¼ x HQ",$40 ,$450 
CO,"40 x WBA or $2,500, whichever is greater",$25 ,$481 
CT,40 x WBA,$15 ,$590 
DE,36 x WBA,$20 ,$330 
DC,"1½ x HQW or within $70; not less than $1,950 in 2 qtrs; $1,300 in 1 qtr",$50 ,$359 
FL,"1½ x HQW; minimum $3,400; wages in 2 qtrs",$32 ,$275 
GA,Wages in 2 qtrs & 150% x HQW or HQW divided by 21 for WBA w/ total earnings in 2 qtrs totaling at least 40 x WBA,$44 ,$330 
HI,26 x WBA; wages in 2 qtrs,$5 ,$544 
ID,"1¼ x HQW; not less than the minimum qualifying wages in 1 qtr $1,872",$72 ,$383 
IL,"$1,600; $440 outside HQ",$51 ,$418 
IN,"1½ x HQW totaling at least $2,500 in last 2 qtrs; not less than $4,200 in BP",$37 ,$390 
IA,1¼ x HQW; 3.5% of the statewide AAW in HQ; ½ HQW in qtr not the HQ,$60 ,$408 
KS,30 x WBA; wages in 2 qtrs,$117 ,$469 
KY,1½ x HQW; 8 x WBA in last 2 qtrs; $750 outside HQ,$39 ,$415 
LA,"$1,200 total BPW; wages in 2 qtrs; 1½ x HQW",$10 ,$247 
ME,2 x AWW in 2 different BP qtrs; total BPW = 6 x AWW,$66 ,$378 
MD,"1½ x HQW; $1,176.01 in HQ; $1,800 in 2 qtrs",$50 ,$430 
MA,"30 x WBA; $3,500 minimum",$33 ,$679 
MI,"Total BPW =1½ x HQW; wages in at least 2 BP qtrs; at least $2,871 in HQ; or wages in at least 2 BP qtrs; HQW at least 20 x State AWW ($893.44) or $17,206.80",$117 ,$362 
MN,"Higher of $2,600 in BP or 5.3% of State AAW",$25 ,$405 
MS,40 x WBA; $780 in HQ; wages in 2 qtrs,$30 ,$235 
MO,"1½ x HQW; $1,500 in 1 qtr; or wages in 2 qtrs of BP = 1½ maximum taxable wage base",$35 ,$320 
MT,BPW = 1½ x HQW and total wages > 7% of AAW or BPW > 50% of AAW,$132 ,$464 
NE,"$4,026 in BP; $1,850 in HQW and wages in at least 1 other qtr of $800",$70 ,$372 
NV,1½ x HQW in BP and $400 in HQ; or wages in 3 of 4 qtrs in BP and $400 in HQ,$16 ,$407 
NH,"$2,800; $1,400 in each of 2 qtrs",$32 ,$427 
NJ,"20 weeks employment at 20 x State hourly minimum wage or 1,000 x State hourly minimum wage",$87 ,$636 
NM,"$1,822.43 in HQW and wages in at least 1 other qtr",$75 ,$406 
NY,"1½ x HQW; $1,700 in HQ",$68 ,$405 
NC,6 x AWW; wages in 2 qtrs of BP,$15 ,$350 
ND,1½ x HQW; wages in 2 qtrs,$43 ,$570 
OH,20 weeks employment with wages averaging 27.5% of State AWW; wages in 2 qtrs,$116 ,$418 
OK,"$1,500 and 1½ x HQW",$16 ,$440 
OR,"BPW > $1,000 and BPW > 1½ x HQW; or 500 hours of employment in BP",$126 ,$538 
PA,"$1,688 in HQ; $3,391 in BP; at least 49.5% of BPW outside HQ; 18 credit weeks in BP",$70 ,$573 
PR,40 x WBA; $280 minimum; $77 in 1 qtr; wages in 2 qtrs,$7 ,$133 
RI,"1½ x HQW. 200 x minimum hourly wage in 1 qtr and 400 x minimum hourly wage in BP; or 1,200 x minimum hourly wage in BP",$44 ,$566 
SC,"1½ x HQW; $4,455 minimum; $1,092 in HQ",$42 ,$326 
SD,$728 in HQ; 20 x WBA outside HQ,$28 ,$345 
TN,40 x WBA; $780.01 avg wages in highest 2 qtrs; BPW outside HQW > the lesser of 6 x WBA or $900,$30 ,$275 
TX,37 x WBA; wages in at least 2 qtrs,$63 ,$454 
UT,"$3,300 in BP and 1½ x HQW",$26 ,$487 
VT,"$2,312 HQW + BPW > 40% HQW",$58 ,$425 
VA,"$2,700 in highest 2 qtrs of BP",$54 ,$378 
VI,1½ x HQW and $858 in HQ; or $858 in HQ and 39 x WBA in BP,$33 ,$468 
WA,680 hours; wages in BP or alternate BP,$148 ,$624 
WV,"$2,200 and wages in 2 qtrs",$24 ,$424 
WI,35 x WBA and 4 x WBA outside HQ,$54 ,$370 
WY,1.4 x HQW; at least 8% of statewide AAW,$34 ,$471 
