State,Qualifying wage or employment,WBA for total unemployment Min,WBA for total unemployment Max
AL,1½ x HQW; qualify for at least minimum WBA,$45 ,$265 
AK,"$2,500; wages in 2 qtrs",$56 ,$370 
AZ,"1½ x HQW and $1,500 in 1 qtr; or wages in 2 qtrs with wages in 1 qtr sufficient to qualify for maximum WBA, and total BPW ≥ taxable wage base",$60 ,$240 
AR,35 x WBA; wages in 2 qtrs,$82 ,$457 
CA,"$1,300 in HQ, or $900 in HQ with BPW = 1¼ x HQ",$40 ,$450 
CO,"40 x WBA or $2,500, whichever is greater",$25 ,$454 
CT,40 x WBA,$15 ,$573 
DE,36 x WBA,$20 ,$330 
DC,"1½ x HQW or within $70; not less than $1,950 in 2 qtrs; $1,300 in 1 qtr",$50 ,$359 
FL,"1½ x HQW; minimum $3,400; wages in 2 qtrs",$32 ,$275 
GA,Wages in 2 qtrs & 150% x HQW or HQW divided by 21 for WBA w/ total earnings at least 40 x WBA,$44 ,$330 
HI,26 x WBA; wages in 2 qtrs,$5 ,$523 
ID,"1¼ x HQW; not less than the minimum qualifying wages in 1 qtr $1,872",$72 ,$343 
IL,"$1,600; $440 outside HQ",$51 ,$403 
IN,"1½ x HQW totaling at least $2,500 in last 2 qtrs; not less than $4,200 in BP",$50 ,$390 
IA,1¼ x HQW; 3.5% of the statewide AAW in HQ; ½ HQW in qtr not the HQ,$57 ,$385 
KS,30 x WBA; wages in 2 qtrs,$111 ,$444 
KY,1½ x HQW; 8 x WBA in last 2 qtrs; $750 outside HQ,$39 ,$415 
LA,"$1,200 total BPW; wages in 2 qtrs; 1½ x HQW",$10 ,$247 
ME,2 x AWW in 2 different BP qtrs; total BPW = 6 x AWW,$64 ,$366 
MD,"1½ x HQW; $576.01 in HQ; $1,776.01 in HQ",$50 ,$430 
MA,"30 x WBA; $3,500 minimum",$33 ,$653 
MI,"1½ x HQW; at least $2,871 in HQ; or wages in 2 or more BP qtrs totaling at least $17,206.80 (20 x State AWW of $860.34)",$117 ,$362 
MN,"At least $1,000 in HQ; $250 outside HQ",$38 ,$385 
MS,40 x WBA; $780 in HQ; wages in 2 qtrs,$30 ,$235 
MO,"1½ x HQW; $1,500 in 1 qtr; or wages in 2 qtrs of BP = 1½ maximum taxable wage base",$35 ,$320 
MT,BPW = 1½ x HQW and total wages > 7% of AAW or BPW > 50% of AAW,$123 ,$431 
NE,"$3,868 in BP; $1,850 in HQW and wages in at least 1 other qtr of $800",$70 ,$354 
NV,1½ x HQW in BP and $400 in HQ; or wages in 3 of 4 qtrs in BP and $400 in HQ,$16 ,$396 
NH,"$2,800; $1,400 in each of 2 qtrs",$32 ,$427 
NJ,"20 weeks employment at 20 x State hourly minimum wage or 1,000 x State hourly minimum wage",$87 ,$611 
NM,"$1,749.54 in HQW and wages in at least 1 other qtr",$74 ,$397 
NY,"1½ x HQW; $1,600 in HQ",$64 ,$405 
NC,6 x AWW; wages in 2 qtrs of BP,$45 ,$522 
ND,1½ x HQW; wages in 2 qtrs,$43 ,$470 
OH,20 weeks employment with wages averaging 27.5% of State AWW; wages in 2 qtrs,$111 ,$400 
OK,"$1,500 and 1½ x HQW",$16 ,$368 
OR,"BPW > $1,000 and BPW > 1½ x HQW; or 500 hours of employment in BP",$118 ,$507 
PA,"$800 in HQ; $1,320 in BP; at least 20% of BPW outside HQ; 16 credit weeks in BP",$35 ,$573 
PR,40 x WBA; $280 minimum; $77 in 1 qtr; wages in 2 qtrs,$7 ,$133 
RI,"1½ x HQW. 200 x minimum hourly wage in 1 qtr and 400 x minimum hourly wage in BP; or 1,200 x minimum hourly wage in BP",$68 ,$566 
SC,"1½ x HQW; $4,455 minimum; $1,092 in HQ",$42 ,$326 
SD,$728 in HQ; 20 x WBA outside HQ,$28 ,$323 
TN,40 x WBA; $780.01 avg wages in highest 2 qtrs; BPW outside HQW > the lesser of 6 x WBA or $900,$30 ,$275 
TX,37 x WBA; wages in at least 2 qtrs,$61 ,$426 
UT,"$3,200 in BP and 1½ x HQW",$25 ,$467 
VT,"$2,203 HQW + BPW > 40% HQW",$68 ,$425 
VA,"$2,700 in highest 2 qtrs of BP",$54 ,$378 
VI,1½ x HQW and $858 in HQ; or $858 in HQ and 39 x WBA in BP,$33 ,$495 
WA,680 hours; wages in BP or alternate BP,$138 ,$583 
WV,"$2,200 and wages in 2 qtrs",$24 ,$424 
WI,35 x WBA and 4 x WBA outside HQ,$54 ,$363 
WY,1.4 x HQW; at least 8% of statewide AAW,$32 ,$444 
