State,Qualifying wage or employment,WBA Min,WBA Max
AL,1½ x HQW; qualify for at least minimum WBA,$45 ,$265 
AK,$2500; wages in 2 qtrs,$56 ,$370 
AZ,1½ x HQW; $1500 in 1 qtr or wages in 2 qtrs; wages in 1 qtr sufficient to qualify for maximum WBA and BPW ≥ taxable wage base,$60 ,$240 
AR,27 x WBA; wages in 2 qtrs,$81 ,$451 
CA,$1300 in HQ or $900 in HQ with BPW = 1¼ x HQ,$40 ,$450 
CO,40 x WBA or $2500 whichever is greater,$25 ,$415 
CT,40 x WBR,$15 ,$555 
DE,36 x WBA,$20 ,$330 
DC,1½ x HQW or within $70; not less than $1950 in 2 qtrs; $1300 in 1 qtr,$50 ,$359 
FL,1½ x HQW; minimum $3400; wages in 2 qtrs,$32 ,$275 
GA,wages in 2 qtrs & 150% x HQW or HQW divided by 21 for WBA w/ total earnings at least 40 x WBA,$44 ,$330 
HI,26 x WBA; wages in 2 qtrs ($11529 in HQ for maximum & $14274 in BP),$5 ,$549 
ID,1¼ x HQW; not less than the minimum qualifying wages in 1 qtr $1690,$72 ,$336 
IL,$1600; $440 outside HQ,$51 ,$388 
IN,1.5 x HQW totaling at least $2500 in last 2 qtrs; not less than $4200 in BP,$50 ,$390 
IA,1¼ x HQW; 3.5% of the statewide AAW in HQ; ½ HQW in qtr not the HQ,$56 ,$376 
KS,30 x WBA; wages in 2 qtrs,$108 ,$435 
KY,1½ x HQW; 8 x WBA in last 2 qtrs; $750 in HQ; $750 outside HQ,$39 ,$415 
LA,$1200 total BPW; wages in 2 qtrs; 1½ x HQW,$10 ,$247 
ME,2 x AWW in 2 different BP qtrs; total BPW = 6 x AWW,$62 ,$359 
MD,1½ x HQW; $576.01 in HQ,$25 ,$430 
MA,30 x WBA; $3500 minimum,$33 ,$625 
MI,1½ x HQW; at least $2871 in HQ); or wages in 2 or more BP qtrs totaling at least $16695 (20 x State AWW of $828.73),$117 ,$362 
MN,At least $1000 in HQ; $250 outside HQ,$38 ,$372 
MS,40 x WBA; $780 in HQ; wages in 2 qtrs,$30 ,$235 
MO,1½ x HQW; $1500 in 1 qtr; or wages in 2 qtrs of BP = 1½ maximum taxable wage base,$35 ,$320 
MT,BPW = 1½ x HQW & total wages > 7% of AAW or BPW > 50% of AAW,$120 ,$421 
NE,$2807; $800 in each of 2 qtrs,$30 ,$348 
NV,1½ x HQW; or wages in 3 of 4 qtrs of BP,$16 ,$398 
NH,$2800; $1400 in each of 2 qtrs,$32 ,$427 
NJ,20 weeks employment at 20 x State hourly minimum wage or 1000 x State hourly minimum wage,$87 ,$598 
NM,$1749.54 in HQW and wages in at least 1 other qtr,$72 ,$386 
NY,1½ x HQW; $1600 in HQ,$64 ,$405 
NC,6 x AWW; wages in 2 qtrs of BP,$43 ,$506 
ND,1½ x HQW; wages in 2 qtrs,$43 ,$442 
OH,20 weeks employment with wages averaging 27.5% of State AWW; wages in 2 qtrs,$108 ,$387 
OK,$1500 and 1½ x HQW,$16 ,$358 
OR,6 x WBA since prior initial claim and total base year earnings > 1½ x HQW; or 500 hours of employment in BP,$116 ,$496 
PA,$800 in HQ; $1320 in BP; at least 20% of BPW outside HQ; 16 credit weeks in BP,$35 ,$573 
PR,40 x WBA; $280 minimum; $77 in 1 qtr; wages in 2 qtrs,$7 ,$133 
RI,1½ x HQW. 200 x minimum hourly wage in 1 qtr and 400 x minimum hourly wage in BP; or 1200 x minimum hourly wage in BP,$68 ,$551 
SC,1½ x HQW; $4455 minimum; $1092 in HQ,$42 ,$326 
SD,$728 in HQ; 20 x WBA outside HQ,$28 ,$314 
TN,40 x WBA; $780.01 avg wages in highest 2 qtrs; BPW outside HQW > the lesser of 6 x WBA or $900,$30 ,$275 
TX,37 x WBA; wages in at least 2 qtrs,$60 ,$415 
UT,$3100 in BP and 1½ x HQW,$29 ,$452 
VT,$2203 HQW + BPW > 40% HQW,$64 ,$425 
VA,$2700 in highest 2 qtrs of BP,$54 ,$378 
VI,1½ x HQW and $858 in HQ; or $858 in HQ and 39 x WBA in BP,$33 ,$462 
WA,680 hours; wages in BP or alternate BP,$135 ,$570 
WV,$2200 and wages in 2 qtrs,$24 ,$424 
WI,35 x WBA and 4 x WBA outside HQ,$54 ,$363 
WY,1.4 x HQW; at least 8% of statewide AAW,$31 ,$430 
