State,Qualifying wage or employment,WBA for total unemployment Min,WBA for total unemployment Max
AL,1½ x HQW; qualify for at least minimum WBA,$45 ,$265 
AK,$2500; wages in 2 qtrs,$56 ,$370 
AZ,1½ x HQW; $1500 in 1 qtr or wages in 2 qtrs; wages in 1 qtr sufficient to qualify for maximum WBA and BPW ≥ taxable wage base,$60 ,$240 
AR,27 x WBA; wages in 2 qtrs,$79 ,$441 
CA,"$1300 in HQ,  or $900 in HQ with BPW = 1¼ x HQ",$40 ,$450 
CO,"40 x WBA or $2500,  whichever is greater",$25 ,$443 
CT,40 x WBR,$15 ,$537 
DE,36 x WBA,$20 ,$330 
DC,1½ x HQW or within $70; not less than $1950 in 2 qtrs; $1300 in 1 qtr,$50 ,$359 
FL,1½ x HQW; minimum $3400; wages in 2 qtrs,$32 ,$275 
GA,wages in 2 qtrs & 150% x HQW or HQW divided by 21 for WBA w total earnings at least 40 x WBA,$44 ,$330 
HI,26 x WBA; wages in 2 qtrs ($11719 in HQ for maximum & $14534 in BP),$5 ,$559 
ID,1¼ x HQW; not less than the minimum qualifying wages in 1 qtr $1690,$72 ,$334 
IL,$1600; $440 outside HQ,$51 ,$385 
IN,1.5 x HQW totaling at least $2500 in last 2 qtrs; not less than $4200 in BP,$50 ,$390 
IA,1¼ x HQW; 3.5% of the statewide AAW in HQ; ½ HQW in qtr not the HQ,$56 ,$374 
KS,30 x WBA; wages in 2 qtrs,$109 ,$436 
KY,1½ x HQW; 8 x WBA in last 2 qtrs; $750 in HQ; $750 outside HQ,$39 ,$415 
LA,$1200 total BPW; wages in 2 qtrs; 1½ x HQW,$10 ,$247 
ME,2 x AWW in 2 different BP qtrs; total BPW = 6 x AWW,$62 ,$356 
MD,1½ x HQW; $576.01 in HQ,$25 ,$410 
MA,30 x WBA; $3500 minimum,$33 ,$629 
MI,1½ x HQW; at least $2871 in HQ; or wages in 2 or more BP qtrs totaling at least $16695 (20 x State AWW of $828.73),$117 ,$362 
MN,At least $1000 in HQ; $250 outside HQ,$38 ,$377 
MS,40 x WBA; $780 in HQ; wages in 2 qtrs,$30 ,$235 
MO,1½ x HQW; $1500 in 1 qtr; or wages in 2 qtrs of BP = 1½ maximum taxable wage base,$35 ,$320 
MT,BPW = 1½ x HQW & total wages  7% of AAW or BPW  50% of AAW,$125 ,$422 
NE,$2761; $800 in each of 2 qtrs; $800 in HQ,$30 ,$318 
NV,1½ x HQW; or wages in 3 of 4 qtrs of BP,$16 ,$400 
NH,$2800; $1400 in each of 2 qtrs,$32 ,$427 
NJ,20 weeks employment at 20 x State hourly minimum wage or 1000 x State hourly minimum wage,$87 ,$600 
NM,$1451.67 in HQW and wages in at least 1 other qtr,$71 ,$426 
NY,1½ x HQW; $1600 in HQ,$64 ,$405 
NC,6 x AWW; wages in 2 qtrs of BP,$43 ,$505 
ND,1½ x HQW; wages in 2 qtrs,$43 ,$431 
OH,20 weeks employment with wages averaging 27.5% of State AWW; wages in 2 qtrs,$106 ,$375 
OK,$1500 and 1½ x HQW,$16 ,$430 
OR,6 x WBA since prior initial claim and total base year earnings  1½ x HQW; or 500 hours of employment in BP,$115 ,$493 
PA,$800 in HQ; $1320 in BP; at least 20% of BPW outside HQ; 16 credit weeks in BP,$35 ,$564 
PR,40 x WBA; $280 minimum; $77 in 1 qtr; wages in 2 qtrs,$7 ,$133 
RI,1½ x HQW. 200 x minimum hourly wage in 1 qtr and 400 x minimum hourly wage in BP; or 1200 x minimum hourly wage in BP,$68 ,$546 
SC,1½ x HQW; $900 minimum; $540 in HQ,$20 ,$326 
SD,$728 in HQ; 20 x WBA outside HQ,$28 ,$309 
TN,40 x WBA; $780.01 avg wages in highest 2 qtrs; BPW outside HQW  the lesser of 6 x WBA or $900,$30 ,$275 
TX,37 x WBA; wages in at least 2 qtrs,$59 ,$406 
UT,$3100 and (1) 1½ x HQW or (2) $155 for 20 weeks,$29 ,$451 
VT,$2099 HQW + BPW  40% HQW,$64 ,$425 
VA,$2700 in highest 2 qtrs of BP,$54 ,$378 
VI,1½ x HQW and $858 in HQ; or $858 in HQ and 39 x WBA in BP,$33 ,$462 
WA,680 hours; wages in BP or alternate BP,$133 ,$560 
WV,$2200 and wages in 2 qtrs,$24 ,$424 
WI,35 x WBA and 4 x WBA outside HQ,$54 ,$363 
WY,1.4 x HQW; at least 8% of statewide AAW,$31 ,$438 
