State,Qualifying wage or employment,WBA for total unemployment Min,WBA for total unemployment Max
AL,1½ x HQW; qualify for at least minimum WBA,$45 ,$265 
AK,"$2,500; wages in 2 qtrs",$56 ,$370 
AZ,1½ x HQW and 390 x minimum wage in effect in 1 qtr; or wages in 2 qtrs with wages in 1 qtr sufficient to qualify for maximum WBA and total BPW ≥ taxable wage base,$126 ,$240 
AR,35 x WBA; wages in 2 qtrs,$81 ,$451 
CA,"$1,300 in HQ, or $900 in HQ with BPW = 1¼ x HQ",$40 ,$450 
CO,"40 x WBA or $2,500, whichever is greater",$25 ,$502 
CT,40 x WBA,$15 ,$598 
DE,36 x WBA,$20 ,$330 
DC,"1½ x HQW or within $70; not less than $1,950 in 2 qtrs; $1,300 in 1 qtr",$50 ,$359 
FL,"1½ x HQW; minimum $3,400; wages in 2 qtrs",$32 ,$275 
GA,Wages in 2 qtrs & 150% x HQW or HQW divided by 21 for WBA w/ total earnings in 2 qtrs totaling at least 40 x WBA,$44 ,$330 
HI,26 x WBA; wages in 2 qtrs,$5 ,$569 
ID,"1¼ x HQW; not less than the minimum qualifying wages in 1 qtr $1,872",$72 ,$410 
IL,"$1,600; $440 outside HQ",$51 ,$437 
IN,"1½ x HQW totaling at least $2,500 in last 2 qtrs; not less than $4,200 in BP",$37 ,$390 
IA,1¼ x HQW; 3.5% of the statewide AAW in HQ; ½ HQW in qtr not the HQ,$64 ,$431 
KS,30 x WBA; wages in 2 qtrs,$118 ,$474 
KY,1½ x HQW; 8 x WBA in last 2 qtrs; $750 outside HQ,$39 ,$415 
LA,"$1,200 total BPW; wages in 2 qtrs; 1½ x HQW",$10 ,$247 
ME,2 x AWW in 2 different BP qtrs; total BPW = 6 x AWW,$69 ,$397 
MD,"1½ x HQW; $1,176.01 in HQ; $1,800 in 2 qtrs",$50 ,$430 
MA,"30 x WBA; $3,900 minimum",$37 ,$722 
MI,"Total BPW =1½ x HQW; wages in at least 2 BP qtrs; at least $3,162 in HQ; or wages in at least 2 BP qtrs; BPW at least 20 x State AWW ($910.71) or $18,214.20",$117 ,$362 
MN,5.3% of State AAW,$26 ,$424 
MS,40 x WBA; $780 in HQ; wages in 2 qtrs,$30 ,$235 
MO,"1½ x HQW; $1,500 in 1 qtr; or wages in 2 qtrs of BP = 1½ maximum taxable wage base",$35 ,$320 
MT,BPW = 1½ x HQW and total wages > 7% of AAW or BPW > 50% of AAW,$139 ,$487 
NE,"$4,094.89 in BP; $1,850 in HQW and wages in at least 1 other qtr of $800",$70 ,$392 
NV,1½ x HQW in BP and $400 in HQ; or wages in 3 of 4 qtrs in BP and $400 in HQ,$16 ,$417 
NH,"$2,800; $1,400 in each of 2 qtrs",$32 ,$427 
NJ,"20 weeks employment at 20 x State hourly minimum wage or 1,000 x State hourly minimum wage",$100 ,$657 
NM,"$1,919.63 in HQW and wages in at least 1 other qtr",$79 ,$423 
NY,"1½ x HQW; $1,900 in HQ",$100 ,$420 
NC,6 x AWW; wages in 2 qtrs of BP,$15 ,$350 
ND,1½ x HQW; wages in 2 qtrs,$43 ,$633 
OH,20 weeks employment with wages averaging 27.5% of State AWW; wages in 2 qtrs,$118 ,$435 
OK,"$1,500 and 1½ x HQW",$16 ,$505 
OR,"BPW > $1,000 and BPW > 1½ x HQW; or 500 hours of employment in BP",$128 ,$549 
PA,"$1,688 in HQ; $3,391 in BP; at least 49.5% of BPW outside HQ; 18 credit weeks in BP",$70 ,$573 
PR,40 x WBA; $280 minimum; $77 in 1 qtr; wages in 2 qtrs,$7 ,$133 
RI,"1½ x HQW. 200 x minimum hourly wage in 1 qtr and 400 x minimum hourly wage in BP; or 1,200 x minimum hourly wage in BP",$49 ,$566 
SC,"1½ x HQW; $4,455 minimum; $1,092 in HQ",$42 ,$326 
SD,$728 in HQ; 20 x WBA outside HQ,$28 ,$366 
TN,40 x WBA; $780.01 avg wages in highest 2 qtrs; BPW outside HQW > the lesser of 6 x WBA or $900,$30 ,$275 
TX,37 x WBA; wages in at least 2 qtrs,$65 ,$479 
UT,"$3,500 in BP and 1½ x HQW",$28 ,$509 
VT,"$2,386 HQW + BPW > 40% HQW",$74 ,$446 
VA,"$3,000 in highest 2 qtrs of BP",$60 ,$378 
VI,1½ x HQW and $858 in HQ; or $858 in HQ and 39 x WBA in BP,$33 ,$477 
WA,680 hours; wages in BP or alternate BP,$158 ,$664 
WV,"$2,200 and wages in 2 qtrs",$24 ,$424 
WI,35 x WBA and 4 x WBA outside HQ,$54 ,$370 
WY,1.4 x HQW; at least 8% of statewide AAW,$35 ,$491 
