State,Year,Quarter,Civilian Labor Force(000),Covered Employment(000),Subject Employers(000),Total Unemployment Rate,,Total Unemployed(000),Insured Unemployed Regular Programs(000),Insured Unemployed All Programs(000),Recipiency Rates Regular Programs ,,Recipiency Rates All Programs ,
,,,,,,(%),Rank,,,,(%),Rank,(%),Rank
RI,2015,1,556,444,33,7.1,6,39,14.92,14.92,38,17,38,17
RI,2015,2,556,464,34,5.9,14,33,9.49,9.49,29,25,29,25
RI,2015,3,556,463,33,5.8,13,32,9.3,9.3,28.9,23,28.9,23
RI,2015,4,554,467,34,5.4,15,30,8.07,8.07,27.1,28,27.1,28
RI,2016,1,551,451,34,6,10,33,13.04,13.04,39.1,16,39.1,16
RI,2016,2,552,466,34,5.1,17,28,8.94,8.94,32,18,32,18
RI,2016,3,556,465,34,5.3,16,29,9.08,9.08,31.1,16,31.1,16
RI,2016,4,555,468,34,4.5,25,25,7.56,7.56,30.5,21,30.5,21
RI,2017,1,566,453,34,5.2,16,30,12.98,12.98,43.9,13,43.9,13
RI,2017,2,565,470,34,4.1,27,23,8.59,8.59,37.4,12,37.4,12
RI,2017,3,571,470,34,4.5,22,26,8.72,8.72,33.8,9,33.8,9
RI,2017,4,570,473,34,4.2,18,24,7.07,7.07,29.4,22,29.4,22
RI,2018,1,570,459,35,5,8,28,12.33,12.33,43.3,13,43.3,13
RI,2018,2,571,474,35,3.7,27,21,7.69,7.69,36,13,36,13
RI,2018,3,575,474,35,3.9,24,23,8.34,8.34,36.7,8,36.7,8
RI,2018,4,574,476,35,3.5,24,20,7.47,7.47,37.4,13,37.4,13
RI,2019,1,571,463,35,4.3,20,25,11.33,11.33,46.1,10,46.1,10
RI,2019,2,568,478,35,3.2,30,18,7.74,7.74,42,7,42,7
RI,2019,3,578,477,36,3.5,27,20,8.31,8.31,40.9,7,40.9,7
RI,2019,4,579,480,36,3,29,18,6.79,6.79,38.7,14,38.7,14
RI,2020,1,575,465,36,4.3,24,25,15.41,15.41,62.2,7,62.2,7
RI,2020,2,559,392,36,15.4,5,86,81.58,81.58,94.8,23,94.8,23
RI,2020,3,579,431,36,10.7,8,62,48.26,49.1,77.9,36,79.3,36
RI,2020,4,570,444,37,6.5,20,37,17.17,20.77,46.4,35,56.1,32
SC,2015,1,"2,249","1,872",104,6.5,12,147,18.98,18.98,12.9,52,12.9,52
SC,2015,2,"2,285","1,924",104,5.9,14,135,15.22,15.22,11.3,51,11.3,51
SC,2015,3,"2,275","1,923",105,5.8,13,131,17.04,17.04,13,49,13,49
SC,2015,4,"2,263","1,949",106,5.4,15,122,16.79,16.79,13.8,48,13.8,48
SC,2016,1,"2,282","1,924",107,5.5,20,125,17.67,17.67,14.1,48,14.1,48
SC,2016,2,"2,299","1,974",108,4.8,23,110,14.64,14.64,13.3,48,13.3,48
SC,2016,3,"2,293","1,969",108,4.9,26,113,16.4,16.4,14.6,46,14.6,46
SC,2016,4,"2,270","1,985",109,4.4,27,99,14.82,14.82,15,45,15,45
SC,2017,1,"2,251","1,970",111,4.6,29,104,16.04,16.04,15.5,46,15.5,46
SC,2017,2,"2,272","2,013",112,3.9,30,88,12.95,12.95,14.8,48,14.8,48
SC,2017,3,"2,276","1,999",113,4.3,28,98,15.99,15.99,16.4,44,16.4,44
SC,2017,4,"2,247","2,022",114,4.1,22,91,18.23,18.23,20,42,20,42
SC,2018,1,"2,260","2,022",118,4,33,90,17.43,17.43,19.3,43,19.3,43
SC,2018,2,"2,283","2,074",116,3,41,68,14.4,14.4,21.3,32,21.3,32
SC,2018,3,"2,291","2,055",121,3.4,34,77,16.68,16.68,21.6,30,21.6,30
