State,Year,Quarter,Civilian Labor Force(000),Covered Employment(000),Subject Employers(000),Total Unemployment Rate,,Total Unemployed(000),Insured Unemployed Regular Programs(000),Insured Unemployed All Programs(000),Recipiency Rates Regular Programs ,,Recipiency Rates All Programs ,
,,,,,,(%),Rank,,,,(%),Rank,(%),Rank
MA,2021,1,"3,713","3,271",237,7,13,260,145.61,212.58,56,13,81.8,4
MA,2021,2,"3,730","3,408",243,5.7,22,213,80.35,83.3,37.7,22,39.1,21
MA,2021,3,"3,753","3,454",249,5.1,20,190,61.86,62.29,32.5,21,32.7,22
MA,2021,4,"3,730","3,509",247,3.8,18,142,56.46,56.46,39.8,9,39.8,11
MA,2022,1,"3,746","3,454",249,4.2,19,157,73.2,73.2,46.6,5,46.6,6
MA,2022,2,"3,741","3,569",252,3.5,25,132,45.21,45.21,34.2,6,34.2,6
MA,2022,3,"3,766","3,586",254,3.7,23,139,49.55,49.55,35.6,5,35.6,5
MA,2022,4,"3,720","3,593",255,3.2,23,121,48.17,48.17,39.9,8,39.9,8
MA,2023,1,"3,745","3,525",255,3.9,18,147,81.65,81.65,55.5,4,55.5,4
MA,2023,2,"3,743","3,614",256,3.2,24,119,70.34,70.34,59.2,2,59.2,2
MA,2023,3,"3,770","3,606",253,3.3,29,125,66.28,66.28,53,3,53,3
MA,2023,4,"3,748","3,614",252,3.1,29,115,64.62,64.62,56.4,3,56.4,3
MD,2021,1,"3,144","2,354",110,6.4,22,202,60.29,60.3,29.9,46,29.9,46
MD,2021,2,"3,157","2,427",145,5.8,20,182,43.58,43.63,24,47,24,48
MD,2021,3,"3,170","2,444",145,5.1,20,160,38.22,38.25,23.8,37,23.8,38
MD,2021,4,"3,140","2,491",145,3.7,22,115,25.18,25.19,21.9,33,21.9,33
MD,2022,1,"3,148","2,443",143,3.5,32,111,22.18,22.19,19.9,38,19.9,38
MD,2022,2,"3,152","2,497",142,3,30,94,13.88,13.88,14.8,36,14.8,36
MD,2022,3,"3,171","2,505",141,3,35,96,16.97,16.97,17.7,30,17.7,30
MD,2022,4,"3,148","2,512",153,2.5,40,78,17.4,17.4,22.4,23,22.4,23
MD,2023,1,"3,160","2,483",154,2.4,49,76,20.59,20.59,27.1,27,27.1,27
MD,2023,2,"3,177","2,535",156,1.8,51,56,18.15,18.15,32.2,14,32.2,14
MD,2023,3,"3,211","2,531",155,2.2,50,70,21.22,21.22,30.3,14,30.3,14
MD,2023,4,"3,192","2,566",156,2.1,50,68,22.22,22.22,32.6,16,32.6,16
MI,2021,1,"4,725","3,934",225,6.7,18,317,157.84,238.81,49.8,19,75.4,9
MI,2021,2,"4,762","4,066",226,6.3,14,301,106.68,108.24,35.4,26,36,26
MI,2021,3,"4,815","4,120",228,5.9,11,283,75.99,76,26.8,30,26.8,31
MI,2021,4,"4,799","4,198",228,4.1,16,196,50.63,50.64,25.8,27,25.8,29
MI,2022,1,"4,813","4,142",232,4.8,12,229,63.87,63.88,27.9,21,27.9,21
MI,2022,2,"4,864","4,264",235,4.2,7,203,37.45,37.46,18.5,28,18.5,28
